plot_number,id,Ycoordinate,Xcoordinate
266,FOR to SHB,12.2487214,98.87159594
267,FOR to SHB,11.8402446,99.51851128
268,FOR to SHB,14.26569587,98.33722668
269,FOR to SHB,12.18688201,98.75965944
270,FOR to SHB,10.80269045,98.82231693
271,FOR to SHB,10.08718233,98.57977181
272,FOR to SHB,14.07435471,98.78458769
273,FOR to SHB,13.14654474,98.82242922
274,FOR to SHB,14.15789804,98.69834942
275,FOR to SHB,12.63848756,98.93680722
276,FOR to SHB,13.55438416,98.40537031
277,FOR to SHB,10.85894744,98.65663391
278,FOR to SHB,13.12842872,98.62019599
279,FOR to SHB,13.34263608,98.98393202
280,FOR to SHB,13.13786103,98.98401368
281,FOR to SHB,14.67532764,98.36417614
282,FOR to SHB,10.71247101,98.66300888
283,FOR to SHB,13.41139803,99.02174293
284,FOR to SHB,11.6014969,99.07833679
285,FOR to SHB,14.19293233,98.61211116
286,FOR to SHB,10.47255958,98.69295953
287,FOR to SHB,10.47390706,98.68217975
288,FOR to SHB,13.3386345,98.96245412
289,FOR to SHB,11.42050679,98.89844915
290,FOR to SHB,12.13129875,99.16996495
291,FOR to SHB,11.71897204,99.61463101
292,FOR to SHB,14.24585127,98.5104382
293,FOR to SHB,11.79982041,99.17670231
294,FOR to SHB,11.99655146,99.14840538
295,FOR to SHB,14.29803522,98.00574834
296,FOR to SHB,13.34290149,99.02017087
297,FOR to SHB,12.52341338,98.77650285
298,FOR to SHB,12.04506049,99.1225339
299,FOR to SHB,12.52745579,98.78121901
300,FOR to SHB,13.12393714,98.58336507
301,FOR to CRP,14.49746121,97.95454437
302,FOR to CRP,12.28760561,98.84118155
303,FOR to CRP,14.31150995,98.10141892
304,FOR to CRP,12.2337067,99.05677722
305,FOR to CRP,10.66902113,98.67301693
306,FOR to CRP,14.91517782,98.07581693
307,FOR to CRP,12.12006981,99.05048902
308,FOR to CRP,11.33089984,98.8789108
309,FOR to CRP,12.48948156,98.7047193
310,FOR to CRP,10.01307131,98.54743246
311,FOR to CRP,10.85119947,98.68756964
312,FOR to CRP,12.23235922,98.88969058
313,FOR to CRP,11.87393143,99.2023043
314,FOR to CRP,12.12523513,99.10764433
315,FOR to CRP,13.2739558,98.68756964
316,FOR to CRP,11.33359478,98.8735209
317,FOR to CRP,10.01576626,98.5501274
318,FOR to CRP,12.23280838,98.85375797
319,FOR to CRP,10.95360742,98.78863011
320,FOR to CRP,13.81348396,99.00072235
321,FOR to CRP,10.38497384,98.59863643
322,FOR to CRP,12.31769918,99.00871735
323,FOR to CRP,11.86418206,99.14095465
324,FOR to CRP,11.86315164,99.15649022
325,FOR to CRP,10.26909117,98.58381423
326,FOR to CRP,14.20640706,98.28255778
327,FOR to CRP,12.59430542,98.72604748
328,FOR to CRP,13.089352,98.6498404
329,FOR to CRP,12.50075133,98.80933219
330,FOR to CRP,11.16165724,98.79698444
331,FOR to CRP,13.74287637,98.14588552
332,FOR to CRP,11.92603371,99.11292193
333,FOR to CRP,10.74070669,98.57977181
334,FOR to CRP,13.94499731,98.08390177
335,FOR to CRP,11.15370715,98.71802253
336,FOR to CRP,14.89092331,98.08659672
337,FOR to CRP,10.63088765,98.57123781
338,FOR to CRP,13.86414894,98.19574202
339,FOR to CRP,14.04740526,98.26446314
340,FOR to CRP,12.71340706,98.99075105
341,FOR to CRP,11.91166067,99.15110033
342,FOR to CRP,12.22023197,99.02039545
343,FOR to CRP,12.35497926,98.99748841
344,FOR to CRP,12.47445519,98.68465012
345,FOR to CRP,10.6358733,98.52722036
346,FOR to CRP,12.60021933,98.95302181
347,FOR to CRP,13.25104876,98.98131874
348,FOR to CRP,11.40635832,98.90720773
349,FOR to CRP,12.36036915,98.99209852
350,FOR to CRP,11.27376698,98.94790141
351,FOR to CRP,13.04039382,98.70418847
352,FOR to CRP,12.15319519,99.06452519
353,FOR to CRP,12.46601103,99.08210971
354,FOR to CRP,14.04740526,98.8735209
355,FOR to CRP,10.49681409,98.80345231
356,FOR to CRP,14.04471031,98.87082596
357,FOR to CRP,13.79677529,98.68622217
358,FOR to CRP,11.81868504,99.59172397
359,FOR to CRP,13.24587368,98.60976773
360,FOR to CRP,10.12221662,98.56360213
361,FOR to CRP,11.91031319,99.1074422
362,FOR to CRP,13.93421753,98.11893607
363,FOR to CRP,11.98914036,99.10043535
364,FOR to CRP,10.36018034,98.70751224
365,FOR to CRP,10.50355146,98.8088422
366,FOR to CRP,11.12608395,98.7791978
367,FOR to CRP,12.26874099,98.76572307
368,FOR to CRP,10.49934061,98.52637819
369,FOR to CRP,11.10668034,98.7544043
370,FOR to CRP,11.39769599,98.868516
371,FOR to CRP,12.58202845,98.64175556
372,FOR to CRP,13.4828141,99.06486206
373,FOR to CRP,10.70297745,98.52587289
374,FOR to CRP,10.70028251,98.52856784
375,FOR to CRP,13.14280176,98.97503053
376,FOR to CRP,11.96690706,99.21038914
377,FOR to CRP,10.48199189,98.48814365
378,FOR to CRP,10.99672655,98.76302812
379,FOR to CRP,11.96713641,99.0582107
380,FOR to CRP,10.69597059,98.50754726
381,FOR to CRP,11.89234689,99.11965929
382,FOR to CRP,10.48468684,98.53665267
383,FOR to CRP,12.02889081,98.95167433
384,FOR to CRP,14.03932042,98.28602271
385,FOR to CRP,10.81077529,98.6148061
386,FOR to CRP,12.09356951,98.93280971
387,FOR to CRP,12.09626446,99.03252271
388,FOR to CRP,12.21214713,99.13493065
389,FOR to CRP,14.96189021,97.93118817
390,FOR to CRP,14.64298829,98.09872397
391,FOR to CRP,10.08718233,98.58246675
392,FOR to CRP,10.08980635,98.56799915
393,FOR to CRP,12.87914623,98.77448164
394,FOR to CRP,13.91535291,98.0825543
395,FOR to CRP,10.79426874,98.60672126
396,FOR to CRP,14.64433576,98.08120682
397,FOR to CRP,12.08177912,98.9297779
398,FOR to CRP,12.87510381,98.66062018
399,FOR to CRP,14.02584569,98.12971585
400,FOR to CRP,10.79864803,98.69834942
401,FOR to CRP,14.52387168,98.03215881
402,FOR to CRP,12.09114406,98.85034437
403,FOR to CRP,10.33107493,98.53287975
404,FOR to CRP,12.25796121,98.97727632
405,FOR to CRP,10.47633251,98.52560339
406,FOR to CRP,12.01726886,99.19674597
407,FOR to CRP,11.20854929,98.79213354
408,FOR to CRP,11.44678251,98.97053895
409,FOR to CRP,13.12932704,98.61660273
410,FOR to CRP,11.65743744,99.01904798
411,FOR to CRP,12.43582764,98.74281603
412,FOR to CRP,12.29501671,99.05509288
413,FOR to CRP,14.32363721,98.23751368
414,FOR to CRP,10.32658335,98.68128143
415,FOR to CRP,12.0233129,99.04969516
416,FOR to CRP,12.25257132,98.87756332
417,FOR to CRP,13.12932704,98.6085179
418,FOR to CRP,10.78348896,98.5989733
419,FOR to CRP,14.32471518,98.45445682
420,FOR to CRP,11.8831953,99.14242597
421,FOR to CRP,14.14664957,98.44619623
422,FOR to CRP,10.03642751,98.56989034
423,FOR to CRP,10.76900363,98.60672126
424,FOR to CRP,12.85623919,98.79267253
425,FOR to CRP,14.72922656,98.10048605
426,FOR to CRP,12.33072475,99.14032054
427,FOR to CRP,13.11495399,98.62558589
428,FOR to CRP,12.24861873,98.99730875
429,FOR to CRP,10.45234749,98.66331513
430,FOR to CRP,11.84832944,99.2521608
431,FOR to CRP,12.43582764,98.62828083
432,FOR to CRP,12.33341969,99.01365809
433,FOR to CRP,12.33341969,99.00692072
434,FOR to CRP,12.08278973,99.17804979
435,FOR to CRP,13.76578341,98.40460033
436,FOR to CRP,12.56518504,98.74820592
437,FOR to CRP,14.85049912,98.11085123
438,FOR to CRP,12.42909027,99.08372668
439,FOR to CRP,12.38731861,99.10124383
440,FOR to CRP,10.67872294,98.53395773
441,FOR to CRP,11.42791789,98.94763192
442,FOR to CRP,12.64199099,98.7293413
443,FOR to CRP,10.44291518,98.63906062
444,FOR to CRP,10.67333305,98.52587289
445,FOR to CRP,11.42162968,98.72080731
446,FOR to CRP,13.20334821,98.98131874
447,FOR to CRP,12.37770135,98.82004472
448,FOR to CRP,10.68074415,98.49050172
449,FOR to CRP,11.87797384,99.11202361
450,FOR to CRP,10.30451046,98.56629708
